Subject,Condition,Highest_nBack,RPM,BEAST,Grip_Strength,nodule_number,Order,Used,Total_Cores_Used,Cores_Used,end_mass,maxlength,maxwidth,maxthickness,edge_angle_goniometer,edge_angle_calliper,edge_angle_degree,start_mass,Proportion_Mass_Removed
10,1,4,6,0.1334,16.9,100,6,1,6,6,343.4,138.98,134.38,61.1,73,2.07,69.2113511,1050.2,0.673014664
10,1,4,6,0.1334,16.9,119, ,0,6, , ,135.8,109.36,91.8,72,1.7,59.07756452,1153, 
10,1,4,6,0.1334,16.9,132, ,0,6, , ,180.06,108.94,79.5,78,2.1,69.9840404,1595.3, 
10,1,4,6,0.1334,16.9,157,4,1,6, , ,148.5,115.24,84.96,63,1.37,49.08919942,852.8, 
11,1,4,5,0.5224,23.7,63,1,1,6, , ,133.78,72.09,68.06,77,2.15,71.25581458,593, 
11,1,4,5,0.5224,23.7,64,2,1,6, , ,129.7,79.83,59.21,87,2.6,81.82876644,655.1, 
11,1,4,5,0.5224,23.7,97,3,1,6, , ,161.21,109.69,50.12,79,1.8,61.92751306,682.3, 
11,1,4,5,0.5224,23.7,98, ,0,6, , ,135.54,85.24,85.32,86,2.12,70.49515012,1059.9, 
11,1,4,5,0.5224,23.7,101, ,0,6, , ,151.27,119.55,65.51,64,2.2,72.50767547,1331.4, 
11,1,4,5,0.5224,23.7,103,6,1,6,6,330.3,153.75,97.21,62.07,91,2.6,81.82876644,1040.6,0.682586969
11,1,4,5,0.5224,23.7,120, ,0,6, , ,126.55,117,100.23,84,2.03,68.16980405,1103.2, 
11,1,4,5,0.5224,23.7,133,4,1,6, , ,157.8,120.59,79.15,69,1.75,60.51287433,1240.4, 
11,1,4,5,0.5224,23.7,158,5,1,6, , ,153.78,108.27,71.02,58,1.52,53.73962617,970.2, 
12,1,3,8,0.3192,34.5,67,8,1,9, , ,135.42,77.96,71.86,65,1.8,61.92751306,764, 
12,1,3,8,0.3192,34.5,70,1,1,9, , ,121.47,94.06,76.77,82,2,67.38013505,741.5, 
12,1,3,8,0.3192,34.5,102,9,1,9,9,77.5,130.62,101.19,77.18,78,2.18,72.00930999,1136.8,0.931826179
12,1,3,8,0.3192,34.5,105,5,1,9, , ,148.37,87.38,75.22,77,2.11,70.2399961,1011.1, 
12,1,3,8,0.3192,34.5,115,7,1,9, , ,148.98,121.86,76.76,83,2.2,72.50767547,946.1, 
12,1,3,8,0.3192,34.5,127,3,1,9, , ,126.19,104.71,62.41,60,1.56,54.94886325,694.7, 
12,1,3,8,0.3192,34.5,137,2,1,9, , ,180.23,133.89,61.28,69,1.75,60.51287433,1200.7, 
12,1,3,8,0.3192,34.5,145,6,1,9, , ,149.42,101.06,85.56,83,2.89,87.86016871,1222.1, 
12,1,3,8,0.3192,34.5,175,4,1,9, , ,167.45,89.56,64.03,61,1.68,58.49765267,809.1, 
22,0,4,8,0.6036,25.6,73, ,0,7, , ,136.75,99.05,71.72,88,2.45,78.47473423,768.1, 
22,0,4,8,0.6036,25.6,84,7,1,7,7,232,125.16,103.49,57.98,81,1.9,64.694887,1038.4,0.776579353
22,0,4,8,0.6036,25.6,107, ,0,7, , ,130.21,93.8,88.95,84,2.09,69.72728179,853.3, 
22,0,4,8,0.6036,25.6,116,6,1,7, , ,137.56,123.12,79.07,72,1.78,61.36413727,874.2, 
22,0,4,8,0.6036,25.6,124,3,1,7, , ,168.69,127.93,79.23,78,2.2,72.50767547,1504.2, 
22,0,4,8,0.6036,25.6,142,1,1,7, , ,173.47,137.45,63.13,74,1.75,60.51287433,1059.9, 
22,0,4,8,0.6036,25.6,148,5,1,7, , ,133.3,116.99,103.6,86,2.44,78.24521479,1256.2, 
22,0,4,8,0.6036,25.6,179,4,1,7, , ,178.03,84.68,64.05,99,2.47,78.9315297,960.5, 
22,0,4,8,0.6036,25.6,182,2,1,7, , ,128.02,111.11,66.34,59,1.21,43.9317261,660.7, 
15,0,5,6,0.2278,51.7,78, ,0,9, , ,115.95,89.83,69.26,69,2.1,69.9840404,722.1, 
13,0,5,6,0.2278,51.7,104,1,1,9, , ,135.86,92.88,61.39,89,1.9,64.694887,617.2, 
13,0,5,6,0.2278,51.7,111,6,1,9, , ,147.38,110.83,67.88,84,2.58,81.39106208,839.5, 
13,0,5,6,0.2278,51.7,121,2,1,9, , ,146.87,113.91,66.35,73,2.1,69.9840404,901.6, 
13,0,5,6,0.2278,51.7,130,7,1,9, , ,143.5,123.22,80.64,70,1.87,63.87332533,1114.9, 
13,0,5,6,0.2278,51.7,151,5,1,9, , ,167.34,118.1,73.27,69,1.92,65.23848614,1073.5, 
13,0,5,6,0.2278,51.7,152,8,1,9, , ,150.99,121.32,78.12,78,2.5,79.61114218,1152.3, 
13,0,5,6,0.2278,51.7,181,9,1,9,9,83.7,156.77,105.36,76.92,60,1.63,57.03341578,1043.5,0.919789171
